Num scan;Nom du Locator;X;Y;Z;% NORD;Plancher
1001;R110b_01;15.217126;6.562585;-1.850;50;PLANCHER 01 (-03.50m)
1002;R110b_02;14.145717;9.039912;-1.850;50;PLANCHER 01 (-03.50m)
1003;R110b_03;12.590446;9.863444;-1.850;50;PLANCHER 01 (-03.50m)
1004;R110b_04;11.988840;11.411803;-1.850;50;PLANCHER 01 (-03.50m)
1005;R110b_05;10.816627;13.045798;-1.850;50;PLANCHER 01 (-03.50m)
1006;R110a_01;8.720852;14.502184;-1.850;50;PLANCHER 01 (-03.50m)
1007;R110a_02;5.452864;15.070529;-1.850;50;PLANCHER 01 (-03.50m)
1008;R110a_03;2.450423;17.305216;-1.850;50;PLANCHER 01 (-03.50m)
1009;R110a_04;-1.178642;16.863843;-1.850;50;PLANCHER 01 (-03.50m)
1010;R110a_05;-3.042215;17.599464;-1.850;50;PLANCHER 01 (-03.50m)
1011;R110a_06;-4.807706;15.294518;-1.850;50;PLANCHER 01 (-03.50m)
1012;R110a_07;-7.357859;15.932057;-1.850;50;PLANCHER 01 (-03.50m)
1013;R111_01;-4.660582;12.989572;-1.850;50;PLANCHER 01 (-03.50m)
1014;R111_02;-4.317292;11.027915;-1.850;50;PLANCHER 01 (-03.50m)
1015;R111_03;-7.210735;12.548199;-1.850;50;PLANCHER 01 (-03.50m)
1016;R110a_08;-8.829102;13.332862;-1.850;50;PLANCHER 01 (-03.50m)
1017;R110a_09;-11.452415;13.571101;-1.850;50;PLANCHER 01 (-03.50m)
1018;R130c_01;-12.205228;10.420819;-1.850;50;PLANCHER 01 (-03.50m)
1019;R147_01;-11.259425;8.513374;-1.850;50;PLANCHER 01 (-03.50m)
1020;R111_04;-8.547861;6.945751;-1.850;50;PLANCHER 01 (-03.50m)
1021;R111_05;-6.470699;6.530008;-1.850;50;PLANCHER 01 (-03.50m)
1022;R113_01;-3.698544;5.733412;-1.850;50;PLANCHER 01 (-03.50m)
1023;R111_06;-9.529628;10.098759;-1.850;50;PLANCHER 01 (-03.50m)
1024;R113_02;-1.149808;5.814910;-1.850;50;PLANCHER 01 (-03.50m)
1025;R113_03;0.965505;6.691254;-1.850;50;PLANCHER 01 (-03.50m)
1026;R149_01;2.790762;10.305117;-1.850;50;PLANCHER 01 (-03.50m)
1027;R149_02;2.752392;7.233544;-1.850;50;PLANCHER 01 (-03.50m)
1028;R148_01;3.385559;12.924105;-1.850;50;PLANCHER 01 (-03.50m)
1029;R148_02;7.813001;11.854100;-1.850;50;PLANCHER 01 (-03.50m)
1030;R148_03;5.141251;10.911129;-1.850;50;PLANCHER 01 (-03.50m)
1031;R130c_02;-14.233727;8.313808;-1.850;50;PLANCHER 01 (-03.50m)
1032;R130c_03;-15.869711;5.642814;-1.850;50;PLANCHER 01 (-03.50m)
1033;R130a_01;-15.570922;2.770034;-1.850;50;PLANCHER 01 (-03.50m)
1034;R130a_02;-17.000136;0.713360;-1.850;50;PLANCHER 01 (-03.50m)
1035;R130a_03;-16.756124;-1.691902;-1.850;50;PLANCHER 01 (-03.50m)
1036;R130a_04;-15.361769;-4.201741;-1.850;50;PLANCHER 01 (-03.50m)
1037;R130a_05;-15.675499;-6.641862;-1.850;50;PLANCHER 01 (-03.50m)
1038;R130a_06;-14.095973;-8.054647;-1.850;50;PLANCHER 01 (-03.50m)
1039;R130a_07;-13.259629;-9.297764;-1.850;50;PLANCHER 01 (-03.50m)
