Num scan;Locator;X;Y;Z;Delta;Hauteur/cm;Zcorrige;% NORD;PlancherMS
1001;R110b_01;15.217;6.563;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1002;R110b_02;14.146;9.040;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1003;R110b_03;12.590;9.863;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1004;R110b_04;11.989;11.412;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1005;R110b_05;10.817;13.046;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1006;R110a_01;8.721;14.502;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1007;R110a_02;5.453;15.071;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1008;R110a_03;2.450;17.305;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1009;R110a_04;-1.179;16.864;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1010;R110a_05;-3.042;17.599;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1011;R110a_06;-4.808;15.295;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1012;R110a_07;-7.358;15.932;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1013;R111_01;-4.661;12.990;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1014;R111_02;-4.317;11.028;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1015;R111_03;-7.211;12.548;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1016;R110a_08;-8.829;13.333;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1017;R110a_09;-11.452;13.571;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1018;R130c_01;-12.205;10.421;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1019;R147_01;-11.259;8.513;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1020;R111_04;-8.548;6.946;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1021;R111_05;-6.471;6.530;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1022;R113_01;-3.699;5.733;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1023;R111_06;-9.530;10.099;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1024;R113_02;-1.150;5.815;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1025;R113_03;0.966;6.691;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1026;R149_01;2.791;10.305;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1027;R149_02;2.752;7.234;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1028;R148_01;3.386;12.924;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1029;R148_02;7.813;11.854;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1030;R148_03;5.141;10.911;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1031;R130c_02;-14.234;8.314;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1032;R130c_03;-15.870;5.643;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1033;R130a_01;-15.571;2.770;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1034;R130a_02;-17.000;0.713;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1035;R130a_03;-16.756;-1.692;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1036;R130a_04;-15.362;-4.202;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1037;R130a_05;-15.675;-6.642;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1038;R130a_06;-14.096;-8.055;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1039;R130a_07;-13.260;-9.298;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1040;R130a_08;-14.245;-9.002;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1041;R130a_09;-11.387;-11.269;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1042;R130a_10;-13.062;-10.801;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1043;R130a_11;-9.070;-13.315;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
1044;R147_02;-8.276;5.518;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3171;R147_03;-7.266;3.234;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3172;R147_04;-9.495;3.330;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3173;R147_05;-11.939;3.475;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3174;R147_06;-13.810;3.539;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3175;R147_07;-10.245;1.098;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3176;R147_08;-7.678;0.096;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3177;R147_09;-9.954;-2.872;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3178;R147_10;-12.048;-4.238;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3179;R147_11;-13.942;-2.089;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3180;R133_01;-5.272;0.162;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3181;R133_02;-7.216;-2.159;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3182;R133_03;-4.790;-1.957;-3.500;;165.000;-1.850;50;PLANCHER 01 (-03.50m)
3183;R133_04;-3.597;-3.635;-3.500;;120.000;-2.300;50;PLANCHER 01 (-03.50m)
3184;R133_05;-3.314;-5.293;-3.500;;100.000;-2.500;50;PLANCHER 01 (-03.50m)
