Fichier photo;Nom du Locator;X;Y;Z;% NORD;Plancher
CP1_GRA_TR6_BK_00_K058_20260423_01;K058_01;614.358000;85.543000;-5.350;50;PLANCHER 00 (-08.50m)
CP1_GRA_TR6_BK_00_K058_20260423_02;K058_02;613.902000;80.453000;-6.850;50;PLANCHER 00 (-08.50m)
CP1_GRA_TR6_BK_00_K058_20260423_03;K058_03;616.599000;80.149000;-6.850;50;PLANCHER 00 (-08.50m)
CP1_GRA_TR6_BK_00_K058_20260423_04;K058_04;616.474000;82.362000;-6.850;50;PLANCHER 00 (-08.50m)
CP1_GRA_TR6_BK_00_K058_20260423_05;K058_05;614.414000;83.980000;-6.850;50;PLANCHER 00 (-08.50m)
CP1_GRA_TR6_BK_00_K056_20260423_01;K056_01;615.961000;70.240000;-6.850;50;PLANCHER 00 (-08.50m)
CP1_GRA_TR6_BK_00_K056_20260423_02;K056_02;612.534000;69.969000;-6.850;50;PLANCHER 00 (-08.50m)
CP1_GRA_TR6_BK_00_K056_20260423_03;K056_03;608.889000;70.346000;-6.850;50;PLANCHER 00 (-08.50m)
CP1_GRA_TR6_BK_00_K056_20260423_04;K056_04;611.532000;67.332000;-6.850;50;PLANCHER 00 (-08.50m)
CP1_GRA_TR6_BK_00_K056_20260423_05;K056_05;611.666000;64.794000;-6.850;50;PLANCHER 00 (-08.50m)
CP1_GRA_TR6_BK_00_K056_20260423_06;K056_06;609.595000;67.349000;-6.850;50;PLANCHER 00 (-08.50m)
CP1_GRA_TR6_BK_00_K056_20260423_07;K056_07;604.335000;67.249000;-6.850;50;PLANCHER 00 (-08.50m)
CP1_GRA_TR6_BK_00_K056_20260423_08;K056_08;599.460000;67.216000;-6.850;50;PLANCHER 00 (-08.50m)
CP1_GRA_TR6_BK_00_K056_20260423_09;K056_09;595.235000;67.299000;-6.850;50;PLANCHER 00 (-08.50m)
CP1_GRA_TR6_BK_00_K056_20260423_10;K056_10;605.973000;64.770000;-6.850;50;PLANCHER 00 (-08.50m)
